GACF01	Cornales_Nyssaceae_Camptotheca_acuminata
Nyssa_sinensis	Cornales_Nyssaceae_Nyssa_sinensis
GHER01	Cornales_Nyssaceae_Davidia_involucrata
GALZ01	Ericales_Actinidiaceae_Actinidia_chinensis
GEYI01	Ericales_Actinidiaceae_Actinidia_deliciosa
Actinidiaceae_Actinidia_eriantha	Ericales_Actinidiaceae_Actinidia_eriantha
Actinidiaceae_Actinidia_rufa	Ericales_Actinidiaceae_Actinidia_rufa
LP208143B_trinity	Ericales_Actinidiaceae_Saurauia_tristyla
PL008455B_trinity	Ericales_Balsaminaceae_Hydrocera_triflora
GJBI01	Ericales_Balsaminaceae_Impatiens_balsamina
GJBN01	Ericales_Balsaminaceae_Impatiens_bicornuta
GJBO01	Ericales_Balsaminaceae_Impatiens_devendrae
GJBP01	Ericales_Balsaminaceae_Impatiens_falcifer
GJBQ01	Ericales_Balsaminaceae_Impatiens_hawkeri
GJBR01	Ericales_Balsaminaceae_Impatiens_racemosa
GJBY01	Ericales_Balsaminaceae_Impatiens_scabrida
GJBZ01	Ericales_Balsaminaceae_Impatiens_scullyi
SAS56_trinity	Ericales_Clethraceae_Clethra_accuminata
Clethraceae_Clethra_arborea	Ericales_Clethraceae_Clethra_arborea
PL008549A_trinity	Ericales_Diapensiaceae_Diapensia_bulleyana
PL008847A_trinity	Ericales_Diapensiaceae_Shortia_sinensis
GFUF01	Ericales_Ebenaceae_Diospyros_kaki
GBSJ0112	Ericales_Ebenaceae_Diospyros_lotus
SAS57_trinity	Ericales_Ebenaceae_Diospyros_virginiana
LP207996_trinity	Ericales_Ericaceae_Agapetes_forrestii
LP2082861A_trinity	Ericales_Ericaceae_Andromeda_polifolia
LP207993_trinity	Ericales_Ericaceae_Arbutus_unedo
DAL200_trinity	Ericales_Ericaceae_Arctostaphylos_viscida
GBSW01	Ericales_Ericaceae_Calluna_vulgaris-a
LP208360B_trinity	Ericales_Ericaceae_Calluna_vulgaris-b
LP207994_trinity	Ericales_Ericaceae_Cassiope_fastigiata
LP2083271A_trinity	Ericales_Ericaceae_Chamaedaphne_calyculata
ZSTU04567A_trinity	Ericales_Ericaceae_Chimaphila_japonica
LP208353A_trinity	Ericales_Ericaceae_Craibiodendron_yunnanense
LP2080911A_trinity	Ericales_Ericaceae_Empetrum_nigrum_var_nigrum
LP207995_trinity	Ericales_Ericaceae_Gaultheria_nummularioides
DAL224_trinity	Ericales_Ericaceae_Leucothoe_davisiae
PL008850A_trinity	Ericales_Ericaceae_Leucothoe_tonkinensis
LP208352A_trinity	Ericales_Ericaceae_Lyonia_ovalifolia
LP2082881A_trinity	Ericales_Ericaceae_Moneses_uniflora
GFWM01	Ericales_Ericaceae_Monotropa_hypopitys-a
LP208348-2B_trinity	Ericales_Ericaceae_Monotropa_hypopitys-b
LP2083491A_trinity	Ericales_Ericaceae_Monotropastrum_sciaphilum
LP2083261A_trinity	Ericales_Ericaceae_Orthilia_secunda
DG006_trinity	Ericales_Ericaceae_Oxydendrum_arboreum
LP2083301A_trinity	Ericales_Ericaceae_Phyllodoce_caerulea
LP207941_trinity	Ericales_Ericaceae_Pieris_japonica
LP208023_trinity	Ericales_Ericaceae_Pyrola_decorata
DAL195_trinity	Ericales_Ericaceae_Pyrola_picta
GFCU01	Ericales_Ericaceae_Rhododendron_delavayi
GIKT01	Ericales_Ericaceae_Rhododendron_molle
Rhododendron_simsii	Ericales_Ericaceae_Rhododendron_simsii
DAL212_trinity	Ericales_Ericaceae_Vaccinium_coccineum
GBFL01	Ericales_Ericaceae_Vaccinium_macrocarpon
GGAB01	Ericales_Ericaceae_Vaccinium_virgatum
GHLM01	Ericales_Lecythidaceae_Barringtonia_racemosa-a
LP207924_trinity	Ericales_Lecythidaceae_Barringtonia_racemosa-b
GHLN01	Ericales_Lecythidaceae_Couroupita_guianensis
GHLO01	Ericales_Lecythidaceae_Eschweilera_coriacea-a
GHLP01	Ericales_Lecythidaceae_Eschweilera_coriacea-b
GHLD01	Ericales_Lecythidaceae_Eschweilera_sagotiana
GHLK01	Ericales_Lecythidaceae_Grias_cauliflora
GHLE01	Ericales_Lecythidaceae_Gustavia_augusta
GHLF01	Ericales_Lecythidaceae_Gustavia_superba-a
GHLG01	Ericales_Lecythidaceae_Gustavia_superba-b
GHLH01	Ericales_Lecythidaceae_Lecythis_congestiflora
GHLI01	Ericales_Lecythidaceae_Lecythis_persistens
GHLJ01	Ericales_Lecythidaceae_Napoleonaea_imperialis
DG008_trinity	Ericales_Marcgraviaceae_Marcgravia_rectiflora
PL008755A_trinity	Ericales_Mitrastemonaceae_Mitrastemon_yamamotoi
LP207929_trinity	Ericales_Pentaphylacaceae_Adinandra_millettii
GFTZ01	Ericales_Pentaphylacaceae_Anneslea_fragrans-a
LP207928_trinity	Ericales_Pentaphylacaceae_Anneslea_fragrans-b
DG031_trinity	Ericales_Pentaphylacaceae_Eurya_emarginata
LP207927_trinity	Ericales_Pentaphylacaceae_Pentaphylax_euryoides
DG011_trinity	Ericales_Polemoniaceae_Acanthogilia_gloriosa
DG012_trinity	Ericales_Polemoniaceae_Aliciella_latifolia
DG013_trinity	Ericales_Polemoniaceae_Cantua_caerulea
DAL192_trinity	Ericales_Polemoniaceae_Collomia_grandiflora
DG015_trinity	Ericales_Polemoniaceae_Eriastrum_densiflorum
DG016_trinity	Ericales_Polemoniaceae_Gilia_angelensis
DG022_trinity	Ericales_Polemoniaceae_Giliastrum_incisum
DAL218_trinity	Ericales_Polemoniaceae_Ipomopsis_aggregata
DG017_trinity	Ericales_Polemoniaceae_Leptosiphon_aureus
DG018_trinity	Ericales_Polemoniaceae_Linanthus_californicus
DG023_trinity	Ericales_Polemoniaceae_Loeseliastrum_schottii
DG019_trinity	Ericales_Polemoniaceae_Microsteris_gracilis
DAL193_trinity	Ericales_Polemoniaceae_Navarretia_leptalea
GFFN01	Ericales_Polemoniaceae_Phlox_cuspidata
GFFR01	Ericales_Polemoniaceae_Phlox_drummondii
GFFO01	Ericales_Polemoniaceae_Phlox_pilosa
GFFQ01	Ericales_Polemoniaceae_Phlox_roemeriana
DG020_trinity	Ericales_Polemoniaceae_Polemonium_caeruleum_subsp_vilosum
LP207971_trinity	Ericales_Primulaceae_Androsace_umbellata
DG024_trinity	Ericales_Primulaceae_Bonellia_frutescens
PL008734B_trinity	Ericales_Primulaceae_Bonellia_macrocarpa_subsp_panamensis
SAS59_trinity	Ericales_Primulaceae_Clavija_harlingli
LP208155B_trinity	Ericales_Primulaceae_Embelia_ribes
LP208066_trinity	Ericales_Primulaceae_Lysimachia_fukienensis
LP208196A_trinity	Ericales_Primulaceae_Lysimachia_thyrsiflora
SAS53_trinity	Ericales_Primulaceae_Myrsine_floridana
LP207984_trinity	Ericales_Primulaceae_Primula_cicutariifolia
SAS31_trinity	Ericales_Primulaceae_Primula_meadia
Primulaceae_Primula_veris	Ericales_Primulaceae_Primula_veris
GBRY01	Ericales_Primulaceae_Primula_vulgaris
LP207988_trinity	Ericales_Primulaceae_Rapanea_neriifolia__Myrsine_seguinii
LP207986_trinity	Ericales_Primulaceae_Samolus_valerandi
LP208062_trinity	Ericales_Primulaceae_Stimpsonia_chamaedryoides
LP208242A_trinity	Ericales_Primulaceae_Trientalis_europaea__Lysimachia_europaea
Roridulaceae_Rodridula_gorgonias	Ericales_Roridulaceae_Roridula_gorgonias
SAS29_trinity	Ericales_Sapotaceae_Argania_spinosa
LP208116B_trinity	Ericales_Sapotaceae_Chrysophyllum_monopyrenum
PL008615A_trinity	Ericales_Sapotaceae_Diploknema_yunnanensis
LP208123A_trinity	Ericales_Sapotaceae_Eberhardtia_aurata
LP208112B_trinity	Ericales_Sapotaceae_Madhuca_pasquieri
SAS55_trinity	Ericales_Sapotaceae_Manilkara_sapota
SAS30_trinity	Ericales_Sapotaceae_Niemeyera_whitei
LP208119B_trinity	Ericales_Sapotaceae_Planchonella_obovata
LP207985_trinity	Ericales_Sapotaceae_Pouteria_campechiana
LP208118A_trinity	Ericales_Sapotaceae_Sarcosperma_laurinum
DAL227_trinity	Ericales_Sarraceniaceae_Darlingtonia_californica
LP207992_trinity	Ericales_Sarraceniaceae_Heliamphora_tatei
SAS54_trinity	Ericales_Sarraceniaceae_Saracennia_leucophyla
SAS33_trinity	Ericales_Sarraceniaceae_Sarracenia_rubra_subsp_gulfensis
LP207926_trinity	Ericales_Sladeniaceae_Sladenia_celastrifolia
PL008713A_trinity	Ericales_Styracaceae_Bruinsmia_polysperma
LP208074B_trinity	Ericales_Styracaceae_Changiostyrax_dolichocarpus
SAS52_trinity	Ericales_Styracaceae_Halesia_diptera
LP208124A_trinity	Ericales_Styracaceae_Huodendron_tibeticum
LP207933_trinity	Ericales_Styracaceae_Melliodendron_xylocarpum
LP207936_trinity	Ericales_Styracaceae_Pterostyrax_psilophyllus
LP207934_trinity	Ericales_Styracaceae_Rehderodendron_macrocarpum
SAS58_trinity	Ericales_Styracaceae_Styrax_americanus
LP207990_trinity	Ericales_Styracaceae_Styrax_obassis
GISO01	Ericales_Theaceae_Camellia_chekiangoleosa
GEFY01	Ericales_Theaceae_Camellia_oleifera
GEER01	Ericales_Theaceae_Camellia_reticulata
GFSL01	Ericales_Theaceae_Camellia_sasanqua
Camellia_sinensis	Ericales_Theaceae_Camellia_sinensis
GCRZ01	Ericales_Theaceae_Camellia_taliensis
PL0088672B_trinity	Ericales_Pentaphylacaceae_Euryodendron_excelsum
DG026_trinity	Ericales_Theaceae_Franklinia_alatamaha
SAS60_trinity	Ericales_Theaceae_Gordonia_lasianthus
LP208122B_trinity	Ericales_Theaceae_Polyspora_longicarpa
LP207932_trinity	Ericales_Theaceae_Polyspora_speciosa
LP207930_trinity	Ericales_Theaceae_Pyrenaria_hirta
SAS32_trinity	Ericales_Theaceae_Stewartia_pseudocamellia
